text,alpha2_code,language_code,date,cluster,country,tokens,state
Krieg in der Ukraine: Nancy Faeser will »vorübergehenden Schutz ... - DER SPIEGEL,DE,de,2022-02-24,Current Information War,Germany,24,Hamburg
Flucht aus der Ukraine: Zug und Rückzug - Die Zeit,DE,de,2022-02-24,Volunteering and Donations,Germany,13,Appenzell Ausserrhoden
Bremen bereitet mögliche Aufnahme von Flüchtlingen aus der ... - buten un binnen,DE,de,2022-02-24,Local Communities,Germany,22,Hamburg
Krieg in der Ukraine: Deutschland zur Aufnahme von Flüchtlingen bereit - FAZ - Frankfurter Allgemeine Zeitung,DE,de,2022-02-24,Current Information Refugees,Germany,29,Schaffhausen
"Nothelfer in der Ukraine: ""In zwei bis drei Tagen Engpässe"" - tagesschau.de",DE,de,2022-02-24,Volunteering and Donations,Germany,26,Hesse
"Flüchtlinge an der Grenze zwischen Ukraine und Polen: ""Die Welt muss uns helfen"" - FOCUS Online",DE,de,2022-02-24,Local Communities,Germany,26,Berlin
Folgen der Russland-Ukraine-Krise auf Unternehmen der Region - SWR Aktuell,DE,de,2022-02-24,Sanktions Russia and War Strategy,Germany,19,Saarland
"CDU-Bundestagsabgeordneter Roderich Kiesewetter: ""Von Putin ... - SWR Aktuell",DE,de,2022-02-24,Sanktions Russia and War Strategy,Germany,29,Mecklenburg-Vorpommern
Guerre en Ukraine – Un appel pour l'accueil de réfugiés ukrainiens ... - 24 heures,CH,fr,2022-02-24,Local Communities,Switzerland,26,Obwalden
"Guerre en Ukraine : A la frontière hongroise, les premiers réfugiés fuient les combats - 20 Minutes",CH,fr,2022-02-24,Local Communities,Switzerland,31,Baden-Württemberg
Guerre en Ukraine : L'association Loire-Ukraine-Russie solidaire ... - France 3 Régions,CH,fr,2022-02-24,Sanktions Russia and War Strategy,Switzerland,27,Fribourg
Justin Trudeau annonce de nouvelles sanctions contre la Russie ... - Radio-Canada.ca,CH,fr,2022-02-24,Sanktions Russia and War Strategy,Switzerland,16,Geneva
"Guerre en Ukraine : Martine Aubry veut aider la ville ukrainienne de Kharkiv, jumelée avec Lille - 20 Minutes",CH,fr,2022-02-24,Volunteering and Donations,Switzerland,34,Glarus
Guerre en Ukraine : ces exilés en Bretagne qui s’inquiètent pour leur pays - Le Télégramme,CH,fr,2022-02-24,Current Information Refugees,Switzerland,27,Lucerne
Invasion de l'Ukraine : Les 27 condamnent l'implication de la ... - RTBF,CH,fr,2022-02-24,Current Information War,Switzerland,25,Uri
Guerre en Ukraine : les réactions affluent au Manitoba - Radio-Canada.ca,CH,fr,2022-02-24,Current Information War,Switzerland,17,Berlin
"Elle est russe, il est ukrainien : un couple de commerçants brestois ... - Le Télégramme",CH,fr,2022-02-24,Sanktions Russia and War Strategy,Switzerland,28,Saxony-Anhalt
Une entreprise de covoiturage pour réunir les gens et réduire l ... - Radio-Canada.ca,CH,fr,2022-02-24,Volunteering and Donations,Switzerland,24,Saxony
Ukrainische Bevölkerung: Auf der Flucht | ZEIT ONLINE - Die Zeit,CH,de,2022-02-24,Volunteering and Donations,Switzerland,22,Basel
Autokolonnen auf den Straßen: Menschen fliehen massenhaft aus Kiew - zdf.de,CH,de,2022-02-24,Volunteering and Donations,Switzerland,23,Lower Saxony
"Ukraine-Krieg: Explosionen, Flugteile auf Spielplätzen, Flucht – Bilder aus dem ukrainischen Kriegsgebiet - Handelsblatt",CH,de,2022-02-24,Current Information War,Switzerland,38,Glarus
Ukraine-Krieg: Russland greift an - die Flucht hat begonnen - DER SPIEGEL,CH,de,2022-02-24,Sanktions Russia and War Strategy,Switzerland,22,Schwyz
Menschen aus der Ukraine fliehen bereits nach Ungarn - Ungarn Heute,CH,de,2022-02-24,Current Information Refugees,Switzerland,18,Basel
Krieg: Hunderte Deutsche noch in der Ukraine – „Ich will sie bei mir ... - kreiszeitung.de,CH,de,2022-02-24,Volunteering and Donations,Switzerland,24,North Rhine-Westphalia
Schockierte Reaktionen auf Putins Krieg - Vatican News - Deutsch,CH,de,2022-02-24,Sanktions Russia and War Strategy,Switzerland,17,Grisons
Krieg in der Ukraine schüttelt Börse durch – was Experten den Anlegerinnen und Anlegern raten - RND,CH,de,2022-02-24,Current Information War,Switzerland,31,Hamburg
Ukraine-Krieg: Koblenzer sorgen sich um Verwandte in der Heimat - SWR Aktuell,CH,de,2022-02-24,Children and Human Rights,Switzerland,24,Geneva
Ukraine: Angst vor großem russischem Angriff – Menschen fliehen ... - Stuttgarter Nachrichten,CH,de,2022-02-24,Sanktions Russia and War Strategy,Switzerland,27,Valais
Krieg: Ukrainer aus dem Westen der Pfalz sorgt sich um Verwandte - SWR Aktuell,CH,de,2022-02-24,Children and Human Rights,Switzerland,25,Appenzell Innerrhoden
Gabriele Haselsberger: Wirtschaftsdelegierte über ihre Flucht aus ... - Kleine Zeitung,CH,de,2022-02-24,Volunteering and Donations,Switzerland,24,Bavaria
Ukraine: Kämpfe beenden - Save the Children Deutschland,CH,de,2022-02-24,Current Information War,Switzerland,14,Berlin
"Hilflos, ohne Plan: Menschen in Kiew. Viele flüchten vor den Russen aus der Hauptstadt - Berliner Kurier",CH,de,2022-02-24,Volunteering and Donations,Switzerland,31,Grisons
So verbringen Menschen in Kiew die erste Nacht im Krieg - SWR3,CH,de,2022-02-24,Current Information War,Switzerland,18,Thuringia
"Aufnahmen zeigen lange Staus: Ukrainer versuchen, aus Kiew zu fliehen - n-tv NACHRICHTEN",CH,de,2022-02-24,Volunteering and Donations,Switzerland,29,Fribourg
Russischer Angriff auf die Ukraine: „Imperiales Denken“ - fr.de,CH,de,2022-02-24,Sanktions Russia and War Strategy,Switzerland,19,Berlin
Krieg in der Ukraine: Diese Auswirkungen könnten auf Deutschland zukommen - Nordbayern.de,CH,de,2022-02-24,Volunteering and Donations,Switzerland,23,Grisons
Dem Krieg entkommen: Erste Flüchtlinge aus der Ukraine gelangen ... - TAG24,CH,de,2022-02-24,Local Communities,Switzerland,22,Thurgau
Ukraine-Konflikt: Unser Reporter in Kiew – So erleben Ukrainer den Kriegsbeginn - WAZ News,CH,de,2022-02-24,Current Information War,Switzerland,30,Sankt Gallen
"Opern-Star: ""Freunde in Ukraine fliehen in ihre Keller"" - Heute.at",CH,de,2022-02-24,Volunteering and Donations,Switzerland,20,Basel
Ukraine-Konflikt am Krypto-Markt: Gold-gedeckte Stablecoins ... - BTC-ECHO | Bitcoin & Blockchain seit 2014,CH,de,2022-02-24,Volunteering and Donations,Switzerland,34,Saxony-Anhalt
Krieg zwischen Russland und der Ukraine: BW wegen Putin in Sorge - SWR Aktuell,CH,de,2022-02-24,Sanktions Russia and War Strategy,Switzerland,20,Bavaria
Niedersachsen: Braunschweiger gehen wegen Ukraine-Krieg auf die Straße - News38,CH,de,2022-02-24,Volunteering and Donations,Switzerland,21,Schleswig-Holstein
"Bochum: Mann berichtet von schrecklichen Zuständen in Ukraine – „Man weiß nicht, wie lange diese Hölle andauern wird“ - DER WESTEN",CH,de,2022-02-24,Current Information War,Switzerland,37,Aargau
"Ukrainerin zum Kriegsausbruch: «Putin, sieht so brüderliche Liebe aus?» - watson",CH,de,2022-02-24,Sanktions Russia and War Strategy,Switzerland,28,Saxony-Anhalt
L'Autriche prête à admettre des réfugiés ukrainiens malgré sa ... - EURACTIV France,CH,fr,2022-02-24,Current Information Refugees,Switzerland,29,Sankt Gallen
Guerre en Ukraine : comment l'accueil des réfugiés se prépare en ... - franceinfo,CH,fr,2022-02-24,Local Communities,Switzerland,23,Baden-Württemberg
Lyon : le maire Grégory Doucet se tient prêt à accueillir des réfugiés ... - Lyon Mag,CH,fr,2022-02-24,Accomodation,Switzerland,31,Neuchâtel
Guerre en Ukraine : faut-il s’attendre à une vague de réfugiés en Europe ? - Le Parisien,CH,fr,2022-02-24,Current Information Refugees,Switzerland,27,Neuchâtel
Ukraine : le HCR demande aux pays voisins de laisser ouvertes ... - ONU Info,CH,fr,2022-02-24,Volunteering and Donations,Switzerland,22,Sankt Gallen
Guerre en Ukraine: réactions du monde chrétien – Portail catholique ... - cath.ch,CH,fr,2022-02-24,Statements by the Church,Switzerland,23,Lucerne
Des personnalités de l'UE appellent à la reconnaissance de l ... - EURACTIV France,CH,fr,2022-02-24,Refugee Routes from Ukraine,Switzerland,21,Vaud
Vidéos. Guerre en Ukraine : des embouteillages massifs autour de ... - Sud Ouest,CH,fr,2022-02-24,Current Information War,Switzerland,24,Bern
Ukraine Konflikt aktuell: Stimmen und Reaktionen aus dem Allgäu zu Russlands Angriff - Allgäuer Zeitung,DE,de,2022-02-24,Sanktions Russia and War Strategy,Germany,34,Lower Saxony
Guerre en Ukraine: l’ONU évoque des « crimes de guerre » en ... - Le Desk,CH,fr,2022-02-24,Current Information War,Switzerland,25,Obwalden
Ukraine-Krieg: Wie die Menschen den russischen Angriff empfinden - Neue Zürcher Zeitung - NZZ,CH,de,2022-02-24,Sanktions Russia and War Strategy,Switzerland,27,Hesse
So reagiert die MV-Regierung auf den Krieg in der Ukraine - Nordkurier,DE,de,2022-02-24,Current Information War,Germany,20,Zurich
"Guerra in Ucraina, partiti in migliaia, «I rifugiati saranno un milione» - Corriere della Sera",CH,it,2022-02-24,Local Communities,Switzerland,31,Mecklenburg-Vorpommern
"Ucraina, volontari al confine romeno: ""Ci prepariamo ai rifugiati"" - Dire",CH,it,2022-02-24,Refugee Routes from Ukraine,Switzerland,23,Bremen
Milano accoglierà i rifugiati dall'Ucraina a causa della guerra - MilanoToday.it,CH,it,2022-02-24,Current Information Refugees,Switzerland,23,Uri
Orban ha paura dei rifugiati ucraini e militarizza la frontiera - EuNews,CH,it,2022-02-24,Local Communities,Switzerland,22,Valais
"Emergenza profughi, Ue pronta a sostenere Stati - Europa - Agenzia ANSA",CH,it,2022-02-24,Accomodation,Switzerland,25,Hamburg
"Ucraina: patriarca ordosso Daniel, ""trovare la via del dialogo ... - Servizio Informazione Religiosa",CH,it,2022-02-24,Volunteering and Donations,Switzerland,30,Solothurn
"Polonia: Varsavia, giunto alla stazione centrale il primo treno di ... - Servizio Informazione Religiosa",CH,it,2022-02-24,Refugee Routes from Ukraine,Switzerland,28,Saxony
Ucraina: rifugiato in ambasciata a Kiev il fiorentino designatore degli arbitri - FirenzeToday,CH,it,2022-02-24,Local Communities,Switzerland,27,Vaud
"Ucraina, a Kiev le persone si rifugiano nelle stazioni della metro – Video - Il Fatto Quotidiano",CH,it,2022-02-24,Current Information Refugees,Switzerland,27,Lower Saxony
Conflitto in Ucraina – La richiesta di asilo non può essere ritenuta ... - Melting Pot,CH,it,2022-02-24,Local Communities,Switzerland,25,Basel
"Ungheria, Orban schiera truppe ai confini con l'Ucraina - La Stampa",CH,it,2022-02-24,Refugee Routes from Ukraine,Switzerland,23,Schwyz
"Bollette, gas, grano: le conseguenze della guerra in Ucraina per l’Italia - Corriere della Sera",CH,it,2022-02-24,Current Information Refugees,Switzerland,29,Lower Saxony
"Ucraina: Tavolo asilo e immigrazione, “si accolgano i profughi della ... - Asgi",CH,it,2022-02-24,Local Communities,Switzerland,28,Lucerne
"Ucraina Russia, le notizie di giovedì 24 febbraio: la guerra è iniziata. I russi alle porte di Kiev - Corriere della Sera",CH,it,2022-02-24,Sanktions Russia and War Strategy,Switzerland,40,Obwalden
Chi sono i 'nazisti ucraini' che Putin dice di voler eliminare - EuropaToday,CH,it,2022-02-24,Sanktions Russia and War Strategy,Switzerland,22,Basel
"Invasione russa dell'Ucraina, a novembre 2021 le prime rivelazioni su ""Repubblica"" - la Repubblica",CH,it,2022-02-24,Sanktions Russia and War Strategy,Switzerland,33,Neuchâtel
La guerra in Ucraina in diretta video - Corriere TV,CH,it,2022-02-24,Current Information War,Switzerland,14,Lower Saxony
Ucraina: le donne chiamate ad arruolarsi - Donna Moderna,CH,it,2022-02-24,Children and Human Rights,Switzerland,18,Valais
Il Colosseo si illumina con i colori dell'Ucraina: il sindaco condanna l ... - La Voce di New York,CH,it,2022-02-24,Volunteering and Donations,Switzerland,31,Lower Saxony
"Ucraina e Russia in guerra, i bimbi di Kiev a scuola con il gruppo sanguigno sulla manica. I genitori: abbiamo - ilmattino.it",CH,it,2022-02-24,Children and Human Rights,Switzerland,41,Neuchâtel
In Moldavia i primi 4.000 profughi La Polonia mobilita 120 ospedali - Il Manifesto,CH,it,2022-02-24,Local Communities,Switzerland,28,Hamburg
"Ebrei in Ucraina: una presenza secolare, ancora oggi preoccupata ... - Mosaico-cem.it",CH,it,2022-02-24,Statements by the Church,Switzerland,28,Basel
"Ucraina, volontari al confine con la Romania: “Ci prepariamo ai ... - Emergency Live IT",CH,it,2022-02-24,Refugee Routes from Ukraine,Switzerland,23,Fribourg
"Laura Pausini: «Se Marco non mi avesse tradita, non avrei vinto Sanremo» - Sette del Corriere della Sera",CH,it,2022-02-24,Current Information Refugees,Switzerland,33,Glarus
"Vittorio Matteucci chi è? Età, vita privata, moglie dell'attore - LA NOTIZIA",CH,it,2022-02-24,Current Information Refugees,Switzerland,26,Zurich
Guerre en Ukraine – Un appel pour l'accueil de réfugiés ukrainiens ... - Tribune de Genève,CH,fr,2022-02-24,Local Communities,Switzerland,27,Schaffhausen
Le Québec prêt à accueillir des réfugiés ukrainiens - Le Devoir,CH,fr,2022-02-24,Local Communities,Switzerland,22,Rhineland-Palatinate
Première journée de guerre en Ukraine – DW – 24/02/2022 - DW (Français),CH,fr,2022-02-24,Current Information War,Switzerland,25,Ticino
Le testimonianze dall’Ucraina nelle prime ore di guerra: «Dobbiamo ospitare 3mila bambini» - Corriere della Sera,CH,it,2022-02-24,Children and Human Rights,Switzerland,35,North Rhine-Westphalia
"Guerra Ucraina-Russia, le possibili conseguenze per l'Italia - Sky Tg24",CH,it,2022-02-24,Current Information Refugees,Switzerland,22,Valais
La Croce Rossa russa lancia missione umanitaria per sfollati dal ... - Emergency Live IT,CH,it,2022-02-24,Sanktions Russia and War Strategy,Switzerland,25,Valais
"Ucraina, il Massimo di Palermo illuminato coi colori della pace - Corriere del Mezzogiorno",CH,it,2022-02-24,Volunteering and Donations,Switzerland,26,Thurgau
